"constituency_name","polling_station_code","polling_station_name","votes_cast","julius_makau_malombe","jonathan_mwangangi_mueke","david_musila","charity_kaluki_ngilu","winner"
"MWINGI NORTH","15067033417601","ILIONI PRIMARY",69,49,3,16,1,"Malombe"
"MWINGI NORTH","15067033417701","KAKUNGUU PRI SCH",222,105,2,111,2,"Musila"
"MWINGI NORTH","15067033417801","KATHUNGU PRI SCH",201,95,2,100,4,"Musila"
"MWINGI NORTH","15067033417901","NGALANGE PRI SCH",375,191,4,168,1,"Malombe"
"MWINGI NORTH","15067033418001","KALUMU PRI SCH",193,99,2,92,0,"Malombe"
"MWINGI NORTH","15067033418101","SIVETA PRI SCH",241,129,1,109,1,"Malombe"
"MWINGI NORTH","15067033418201","CIOKEREKE PRI SCH",175,139,5,27,1,"Malombe"
"MWINGI NORTH","15067033418301","NGONGONI PRI SCH",301,231,11,55,3,"Malombe"
"MWINGI NORTH","15067033418401","KALIMBUI PRI SCH",280,176,6,95,1,"Malombe"
"MWINGI NORTH","15067033418501","TSEIKURU PRI SCH",247,159,6,75,2,"Malombe"
"MWINGI NORTH","15067033418502","TSEIKURU PRI SCH",277,178,6,87,3,"Malombe"
"MWINGI NORTH","15067033418601","TSEIKURU SEC SCH",242,157,8,68,1,"Malombe"
"MWINGI NORTH","15067033418701","ITUNG'UNI PRI SCH",111,60,1,50,0,"Malombe"
"MWINGI NORTH","15067033418801","KYAMALUTU PRI SCH",328,103,3,218,2,"Musila"
"MWINGI NORTH","15067033418901","USUENI PRI SCH",246,94,3,146,1,"Musila"
"MWINGI NORTH","15067033423301","KATUE PRI SCHOOL",99,59,0,37,3,"Malombe"
"MWINGI NORTH","15067033423401","MARU PRI SCHOOL",37,7,0,28,1,"Musila"
"MWINGI NORTH","15067033423501","MANZINGA PRI SCHOOL",48,17,0,30,0,"Musila"
"MWINGI NORTH","15067033423601","NGUUNI PRI SCHOOL",74,34,4,36,0,"Musila"
"MWINGI NORTH","15067033423701","KARURI PRI SCHOOL",15,8,0,7,0,"Malombe"
"MWINGI NORTH","15067033423801","KASYATHYUNI PRI SCHOOL",58,35,3,20,0,"Malombe"
"MWINGI NORTH","15067033423901","MASEVESEVENI PRI SCHOOL",74,13,2,53,0,"Musila"
"MWINGI NORTH","15067033424101","SUMONI PRI SCHOOL",118,60,3,53,2,"Malombe"
"MWINGI NORTH","15067033424301","NYAMBONI PRI SCHOOL",96,26,1,66,1,"Musila"
"MWINGI NORTH","15067033424401","NDITIMI PRI SCHOOL",73,60,2,9,0,"Malombe"
"MWINGI NORTH","15067033519001","GACIGONGO PRI SCH",271,200,14,52,3,"Malombe"
"MWINGI NORTH","15067033519101","KAMANGARA FEEDER SCH",89,79,4,5,0,"Malombe"
"MWINGI NORTH","15067033519201","KAMAYANGI PRI SCH",282,255,8,17,0,"Malombe"
"MWINGI NORTH","15067033519301","MIRAMBA- IKAMBA PRI SCH",228,172,6,48,1,"Malombe"
"MWINGI NORTH","15067033519401","MWARANGENI NUR SCH",178,166,5,6,0,"Malombe"
"MWINGI NORTH","15067033519501","NKARAKU NUR SCH",186,150,7,27,1,"Malombe"
"MWINGI NORTH","15067033519601","GAKOMBE PRI SCH",239,125,20,89,2,"Malombe"
"MWINGI NORTH","15067033519701","GANKANGA SEC SCH",166,109,21,33,1,"Malombe"
"MWINGI NORTH","15067033519801","KAMIKAU FEEDER SCHOOL",74,53,8,13,0,"Malombe"
"MWINGI NORTH","15067033519901","KARIINI PRI SCH",194,113,22,55,1,"Malombe"
"MWINGI NORTH","15067033520001","NKORU NUR SCH",200,129,17,50,1,"Malombe"
"MWINGI NORTH","15067033520101","THARAKA PRI SCH",405,266,50,76,3,"Malombe"
"MWINGI NORTH","15067033520201","GATORONI PRI SCH",359,204,13,134,4,"Malombe"
"MWINGI NORTH","15067033520301","ITURA-MURA FEEDER SCH",212,140,4,64,0,"Malombe"
"MWINGI NORTH","15067033520401","KANTHOROKO FEEDER SCHOOL",98,72,9,16,0,"Malombe"
"MWINGI NORTH","15067033520501","GATUNDU PRI SCH",151,103,6,38,2,"Malombe"
"MWINGI NORTH","15067033520601","IRIA ITUNE PRIMARY SCHOOL.",196,100,16,77,3,"Malombe"
"MWINGI NORTH","15067033520701","KAMATUMO PRI SCH",202,119,12,67,2,"Malombe"
"MWINGI NORTH","15067033520801","KANJIA FEEDER SCH",137,94,9,31,1,"Malombe"
"MWINGI NORTH","15067033520901","KONYU PRI SCH",141,101,4,30,5,"Malombe"
"MWINGI NORTH","15067033521001","KAMWERINI F. SCHOOL",238,68,10,152,4,"Musila"
"MWINGI NORTH","15067033521101","KANTHUNGU NURSERY SCHOOL",82,18,1,61,2,"Musila"
